"","percent.women","women.work","right.vote","women.ed","culture","development","system","system2"
"1",21.8,33.6144381278638,1.2,11.8,0.43793303816764,-0.540964170595582,1,0
"2",8.8,62.0521027829643,46.6,10,-0.0121513840773370,1.00243816997128,0,1
"3",21.9,55.2702184745113,18,1.6,-0.175236970099423,0.522952362965032,1,0
"4",12,40.8,32,5.3,0.264811281848317,0.757686774738142,1,0
"5",10,45,91.2,0.2,-0.75912625878696,-1.30905739571834,0,1
"6",7,47.6655236085466,21.9,4.1,0.892110862072328,-1.06872722395321,1,0
"7",18,68.2896935933148,57.3,19.6,0.717458227345951,1.57507836517144,0,1
"8",10.8,51.6530905606133,32.7,1.8,0.247795805097679,-0.98311451892256,1,0
"9",14,34.6368715083799,50.9,5.4,0.280805121317530,-0.806676533495986,1,0
"10",5.4,53.9760348583878,33.9,12,-0.045425907611832,-0.202854081972459,1,0
"11",33.5,77.7712609970674,43,19.5,0.940154171476857,0.637125880532772,1,0
"12",10.7,52.4421593830334,61.7,1.9,-0.134580722811927,-1.45027110006989,1,0
"13",33.5,71.6596764529659,33,13.3,1.23342833161298,0.839217046014903,1,0
"14",6.4,58.8181963628606,25,5.3,0.329405745219168,0.568251561059956,0,1
"15",6,35.2,50,5.9,-0.540040369601534,-0.157369033329859,1,0
"16",25.4,76.9,40,7.8,-0.245317840759744,0.925239037817668,1,0
"17",7.2,33,16.8,1.1,-3.61595126811332,-2.16776067695036,0,1
"18",12,38.2,4,6.5,0.256449733500739,0.170045376898571,1,0
"19",9.2,47.7484108397457,39,20.9,0.572858404496577,0.113506587699506,1,0
"20",15.1,43.5,7,2.9,-0.169701595394952,0.425100062707824,1,0
"21",11.7,67.3757852655626,25,1.8,0.89184200921778,-0.633644340942512,0,1
"22",2.7,55.2475893231472,53.7,16.6,0.185587275684531,0.648049901475258,0,1
"23",20,44.6003964275601,18,7.8,-0.190092975570475,1.85049379072086,1,0
"24",7.8,45.1674277016743,70.6,1.8,-0.712218610053548,-1.05704040918737,0,1
"25",1.5,22,50.7,6,-0.601307616990093,-0.618941803917989,1,0
"26",7.5,48.2367005379558,0,0.9,-0.79867514667956,-1.08020114371145,0,1
"27",31.3,54.5,18,4.8,-0.129365476629280,0.917817202354238,1,0
"28",21.2,61.9579915261877,69.1,9.7,1.28488256345371,0.506545358361894,0,1
"29",39.4,65.2,35.8,15.9,0.438046523392049,1.04139052204777,1,0
"30",0,58.0171547793834,5.7,0,-3.41114206206547,-2.04216886751888,0,1
"31",10,45.5868544600939,35,7.7,-1.21303284450430,-1.08547536626486,1,0
"32",13,57.8326180257511,1.6,2.2,-0.268041132346253,-0.64961987580667,1,0
"33",16,42.2310915666874,31,5.8,0.318618282262349,0.0489351622541474,1,0
"34",40.4,79.7822822822823,18.9,14.1,0.89194816721617,0.703569714243411,1,0
"35",21,47.3,12,5,0.0782842638234472,0.744789930263442,1,0
"36",9.2,66.0441971213013,60,8,0.387171682649866,0.665978001614246,0,1
"37",7.1,52.2,39.4,8.9,0.990889215448944,-0.625817638527554,1,0
"38",11,66.4610584423377,38.4,43.2,0.591487920141807,1.64226457413012,0,1
"39",5.9,39.2345333799371,3,11.3,0.701865690548407,-0.63944404287775,1,0
"40",26.2,58.547760088856,45,1.9,0.0875738661011474,0.812672840720805,1,0
